name,cases,Deaths,Recovered,Tests,Population
Saint Martin,9912.00,63.00,1399.00,112382.00,39777.00
Eritrea,9719.00,103.00,9613.00,23693.00,3629109.00
Monaco,9686.00,51.00,9435.00,54960.00,39711.00
Sint Maarten,9599.00,85.00,9463.00,62056.00,43696.00
Niger,8774.00,307.00,8454.00,232094.00,25680904.00
Solomon Islands,8491.00,118.00,1860.00,5117.00,715243.00
Comoros,8060.00,160.00,7884.00,,900794.00
Guinea-Bissau,8050.00,168.00,7055.00,125580.00,2046316.00
Sierra Leone,7667.00,125.00,N/A,259958.00,8250165.00
Caribbean Netherlands,7614.00,31.00,7547.00,30126.00,26634.00
Antigua and Barbuda,7461.00,135.00,7305.00,18901.00,99295.00
Liberia,7392.00,294.00,5747.00,139824.00,5257831.00
Chad,7258.00,190.00,4874.00,191341.00,17219213.00
St. Vincent Grenadines,6742.00,106.00,6634.00,98236.00,111534.00
British Virgin Islands,6091.00,62.00,N/A,100749.00,30570.00
Sao Tome and Principe,5934.00,72.00,5862.00,29036.00,226013.00
Turks and Caicos,5874.00,36.00,5808.00,419792.00,39599.00
Saint Kitts and Nevis,5538.00,42.00,5491.00,65141.00,53833.00
Palau,3897.00,6.00,3556.00,37947.00,18239.00
St. Barth,3780.00,6.00,N/A,78646.00,9928.00
Kiribati,3019.00,13.00,2407.00,,122536.00
Anguilla,2574.00,9.00,2552.00,51382.00,15229.00
Tonga,1382.00,2.00,442.00,44487.00,107713.00
Saint Pierre Miquelon,1256.00,1.00,1092.00,17358.00,5746.00
Wallis and Futuna,454.00,7.00,438.00,20508.00,10907.00
Cook Islands,247.00,,61.00,2943.00,17591.00
Montserrat,166.00,2.00,162.00,8359.00,4997.00
Vanuatu,157.00,1.00,13.00,24976.00,319230.00
Falkland Islands,116.00,,N/A,8632.00,3651.00
Macao,82.00,,79.00,5318.00,664247.00
Samoa,45.00,,28.00,,200636.00
Vatican City,29.00,,28.00,,804.00
Western Sahara,10.00,1.00,8.00,,622065.00
Marshall Islands,7.00,,7.00,,59863.00
Saint Helena,2.00,,2.00,,6107.00
Micronesia,1.00,,1.00,,117055.00
Niue,1.00,,,,1645.00
